,spotify_id,artist_id,track,album,artists,release_date,duration (ms),popularity,added_by,added_at,genres
38,0lREs0EdgrMQQKw00yx0Ct,1Yj5Xey7kTwvZla8sqdsdE,Una Noche en Medellín,Una Noche en Medellín,Cris Mj,2022-01-21,153750,81,spotify:user:,2022-11-30T13:47:00Z,"mambo chileno,urbano chileno"
39,4SqWKzw0CbA05TGszDgMlc,027TpXKGwdXP7iwbjUSpV8,I Love You So,I Love You So,The Walters,2014-11-28,160239,88,spotify:user:,2022-11-30T13:47:00Z,"chicago indie,pov: indie"
40,1SOClUWhOi8vHZYMz3GluK,6QrQ7OrISRYIfS5mtacaw2,Infinity,Feel Something,Jaymes Young,2017-06-23,237720,84,spotify:user:,2022-11-30T13:47:00Z,indie poptimism
41,4tYFy8ALRjIZvnvSLw5lxN,"4q3ewBCX7sLwd24euuV69X,1mcTU81TzQhprhouKaTkpq",Party,Un Verano Sin Ti,"Bad Bunny,Rauw Alejandro",2022-05-06,227628,81,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino,puerto rican pop"
42,6UelLqGlWMcVH1E5c4H7lY,6KImCVD70vtIoJWnq6nGn3,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,spotify:user:,2022-11-30T13:47:00Z,pop
43,18asYwWugKjjsihZ0YvRxO,"2o5jDhtHVPhrJdv3cEQ99Z,4npEfmQ6YuiwW1GpUmaq3F",The Motto,The Motto,"Tiësto,Ava Max",2021-11-04,164818,81,spotify:user:,2022-11-30T13:47:00Z,"big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,pop"
44,5CZ40GBx1sQ9agT82CLQCT,1McMsnEElThX1knmY4oliG,traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,88,spotify:user:,2022-11-30T13:47:00Z,pop
45,1qEmFfgcLObUfQm0j1W2CK,6KImCVD70vtIoJWnq6nGn3,Late Night Talking,Harry's House,Harry Styles,2022-05-20,177954,86,spotify:user:,2022-11-30T13:47:00Z,pop
46,0T5iIrXA4p5GsubkhuBIKV,5XKFrudbV4IiuE5WuTPRmT,Until I Found You,Until I Found You,Stephen Sanchez,2021-09-01,177720,83,spotify:user:,2022-11-30T13:47:00Z,gen z singer-songwriter
47,4gzsuuZypVbxs0Af1LSZyB,"0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Tainy,Bad Bunny,Julieta Venegas",2021-10-05,207301,78,spotify:user:,2022-11-30T13:47:00Z,"pop reggaeton,reggaeton,trap latino,urbano latino,cantautora mexicana,latin alternative,latin pop,latin rock,rock en espanol"
48,2JPLbjOn0wPCngEot2STUS,4q3ewBCX7sLwd24euuV69X,Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,83,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino"
49,41oY4WCTj5kccfesTVFnvN,"4q3ewBCX7sLwd24euuV69X,6nVcHLIgY5pE2YCl8ubca1",Tarot,Un Verano Sin Ti,"Bad Bunny,Jhayco",2022-05-06,237894,82,spotify:user:,2022-11-30T13:47:00Z,"reggaeton,trap latino,urbano latino"
